id,label,latitude,longitude,n1,n2,n3,n4,n5
456,E 53 St & Madison Ave,40.7597108,-73.97402311,520,137,2023,367,522
457,Broadway & W 58 St,40.76695317,-73.98169333,468,499,469,423,447
458,11 Ave & W 27 St,40.751396,-74.005226,388,489,462,459,525
459,W 20 St & 11 Ave,40.746745,-74.007756,462,212,509,388,434
460,S 4 St & Wythe Ave,40.71285887,-73.96590294,389,481,532,2002,443
461,E 20 St & 2 Ave,40.73587678,-73.98205027,325,2003,545,504,507
462,W 22 St & 10 Ave,40.74691959,-74.00451887,509,459,388,434,212
463,9 Ave & W 16 St,40.74206539,-74.00443172,434,404,212,116,225
464,E 56 St & 3 Ave,40.75934501,-73.96759673,305,385,2023,290,367
465,Broadway & W 41 St,40.75513557,-73.98658032,533,477,493,362,523
466,W 25 St & 6 Ave,40.74395411,-73.99144871,444,435,446,486,474
467,Dean St & 4 Ave,40.68312489,-73.97895137,83,271,298,274,353
468,Broadway & W 55 St,40.7652654,-73.98192338,457,469,447,500,423
469,Broadway & W 53 St,40.76344058,-73.98268129,500,447,468,173,510
470,W 20 St & 8 Ave,40.74345335,-74.00004031,453,116,334,509,434
471,Grand St & Havemeyer St,40.71286844,-73.95698119,539,532,481,2002,389
472,E 32 St & Park Ave,40.7457121,-73.98194829,546,476,526,160,474
473,Rivington St & Chrystie St,40.72110063,-73.9919254,265,401,531,312,251
474,5 Ave & E 29 St,40.7451677,-73.98683077,486,526,546,444,498
475,E 16 St & Irving Pl,40.73524276,-73.98758561,297,325,285,497,503
476,E 31 St & 3 Ave,40.74394314,-73.97966069,528,472,546,540,527
477,W 41 St & 8 Ave,40.75640548,-73.9900262,529,523,488,465,2021
478,11 Ave & W 41 St,40.76030096,-73.99884222,514,515,508,448,525
479,9 Ave & W 45 St,40.76019252,-73.9912551,2021,515,529,495,450
480,W 53 St & 10 Ave,40.76669671,-73.99061728,72,449,423,422,495
481,S 3 St & Bedford Ave,40.71260486,-73.96264403,460,532,389,539,443
482,W 15 St & 7 Ave,40.73935542,-73.99931783,223,284,116,345,334
483,E 12 St & 3 Ave,40.73223272,-73.98889957,357,293,237,297,285
484,W 44 St & 5 Ave,40.75500254,-73.98014437,318,493,517,519,153
485,W 37 St & 5 Ave,40.75038009,-73.98338988,153,526,517,267,362
486,Broadway & W 29 St,40.7462009,-73.98855723,474,498,505,526,466
487,E 20 St & FDR Drive,40.73314259,-73.97573881,2003,545,511,504,433
488,W 39 St & 9 Ave,40.75645824,-73.99372222,529,523,477,448,515
489,10 Ave & W 28 St,40.75066386,-74.00176802,388,512,458,462,494
490,8 Ave & W 33 St,40.751551,-73.993934,521,492,379,523,512
491,E 24 St & Park Ave S,40.74096374,-73.98602213,537,540,402,444,503
492,W 33 St & 7 Ave,40.75019995,-73.99093085,379,505,267,490,498
493,W 45 St & 6 Ave,40.7568001,-73.98291153,484,465,538,173,510
494,W 26 St & 8 Ave,40.74734825,-73.99723551,512,446,453,521,509
495,W 47 St & 10 Ave,40.76269882,-73.99301222,479,508,515,450,449
496,E 16 St & 5 Ave,40.73726186,-73.99238967,497,382,168,285,345
497,E 17 St & Broadway,40.73704984,-73.99009296,496,503,285,382,475
498,Broadway & W 32 St,40.74854862,-73.98808416,505,486,267,526,492
499,Broadway & W 60 St,40.76915505,-73.98191841,457,468,422,423,2006
500,Broadway & W 51 St,40.76228826,-73.98336183,469,173,447,510,468
501,FDR Drive & E 35 St,40.744219,-73.97121214,527,518,536,528,167
502,Henry St & Grand St,40.714215,-73.981346,356,332,291,342,350
503,E 20 St & Park Ave,40.73827428,-73.98751968,497,402,491,325,475
504,1 Ave & E 15 St,40.73221853,-73.98165557,2003,433,326,461,511
505,6 Ave & W 33 St,40.74901271,-73.98848395,498,267,492,379,362
507,E 25 St & 2 Ave,40.73912601,-73.97973776,174,2012,545,537,540
508,W 46 St & 11 Ave,40.76341379,-73.99667444,495,478,515,72,479
509,9 Ave & W 22 St,40.7454973,-74.00197139,453,462,470,434,116
510,W 51 St & 6 Ave,40.7606597,-73.98042047,500,173,520,469,538
511,E 14 St & Avenue B,40.72938685,-73.97772429,433,445,487,504,394
512,W 29 St & 9 Ave,40.7500727,-73.99839279,489,521,494,388,490
513,W 56 St & 10 Ave,40.768254,-73.988639,480,422,423,530,449
514,12 Ave & W 40 St,40.76087502,-74.00277668,478,525,508,448,515
515,W 43 St & 10 Ave,40.76009437,-73.99461843,479,495,478,508,488
516,E 47 St & 1 Ave,40.75206862,-73.96784384,164,455,454,2017,440
517,E 41 St & Madison Ave,40.752141,-73.979782,519,153,318,484,485
518,E 39 St & 2 Ave,40.74780373,-73.9734419,167,2017,160,501,455
519,E 42 St & Vanderbilt Ave,40.752416,-73.97837,318,517,153,484,359
520,W 52 St & 5 Ave,40.75992262,-73.97648516,456,538,510,137,352
521,8 Ave & W 31 St,40.75044999,-73.99481051,490,512,379,492,494
522,E 51 St & Lexington Ave,40.75714758,-73.97207836,367,228,2023,456,359
523,W 38 St & 8 Ave,40.75466591,-73.99138152,477,488,529,533,490
524,W 43 St & 6 Ave,40.75527307,-73.98316936,493,484,465,153,533
525,W 34 St & 11 Ave,40.75594159,-74.0021163,448,514,478,458,489
526,E 33 St & 5 Ave,40.74765947,-73.98490707,498,474,485,472,505
527,E 33 St & 1 Ave,40.74315566,-73.97434726,536,528,501,476,2012
528,2 Ave & E 31 St,40.74290902,-73.97706058,536,527,476,2012,507
529,W 42 St & 8 Ave,40.7575699,-73.99098507,477,488,2021,479,523
